Designator,Mid X,Mid Y,Rotation,Layer
BZ1,119.4816,-127.508,270.0,top
C1,128.1176,-74.0156,0.0,bottom
C2,126.2,-102.2,270.0,bottom
C3,137.5295,-103.124,270.0,bottom
C4,122.3,-89.7375,90.0,bottom
C5,126.2,-97.2,90.0,bottom
D1,132.0038,-96.9772,180.0,bottom
J1,165.57,-123.975,90.0,top
J2,152.42,-69.075,270.0,top
J3,120.7116,-114.074,270.0,bottom
J4,146.974,-125.9732,180.0,bottom
J5,127.104,-82.0516,270.0,bottom
J6,174.117,-114.78,270.0,bottom
Q2,143.1892,-79.1695,270.0,bottom
Q4,128.1915,-130.7338,180.0,bottom
Q5,125.476,-88.9508,180.0,bottom
R10,132.207,-132.3848,180.0,bottom
R11,128.4732,-89.0016,270.0,bottom
R18,137.6094,-77.978,0.0,bottom
R2,143.1384,-82.3468,180.0,bottom
R20,131.5315,-125.9258,270.0,bottom
R3,147.5976,-83.0834,180.0,bottom
R4,169.672,-105.0036,0.0,bottom
R5,165.1,-105.0036,180.0,bottom
R6,169.7736,-78.8416,0.0,bottom
R7,168.656,-80.8736,0.0,bottom
R8,132.207,-129.8448,180.0,bottom
R9,130.556,-89.0016,270.0,bottom
RV1,134.2,-74.2,180.0,bottom
U1,159.512,-115.1636,270.0,bottom
U2,151.7124,-76.5302,90.0,bottom
U3,167.38,-92.964,90.0,bottom
U4,131.8907,-102.0572,0.0,bottom
