Designator,Mid X,Mid Y,Layer,Rotation
"C1",128.118,-74.016,bottom,180.000
"C2",126.200,-102.200,bottom,270.000
"C3",137.529,-103.124,bottom,270.000
"C4",122.300,-89.737,bottom,90.000
"C5",126.200,-97.200,bottom,90.000
"Q2",143.189,-79.169,bottom,270.000
"Q4",128.191,-130.734,bottom,0.000
"Q5",125.476,-88.951,bottom,0.000
"R2",143.138,-82.347,bottom,0.000
"R3",147.598,-83.083,bottom,0.000
"R4",169.672,-105.004,bottom,180.000
"R5",165.100,-105.004,bottom,0.000
"R6",169.774,-78.842,bottom,180.000
"R7",168.656,-80.874,bottom,180.000
"R8",132.207,-129.845,bottom,0.000
"R9",130.556,-89.002,bottom,270.000
"R10",132.207,-132.385,bottom,0.000
"R11",128.473,-89.002,bottom,270.000
"R20",131.531,-125.926,bottom,270.000
"RV1",134.200,-74.200,bottom,0.000
"U1",159.512,-115.164,bottom,270.000
"U2",151.712,-76.530,bottom,90.000
"U4",131.891,-102.057,bottom,180.000
